[2026-05-20 16:23:07.793762] BRUTE_FORCE | SRC=172.20.10.2 SERVICE=HTTPS PORT=443 ATTEMPTS=60 in 60s
[2026-05-20 16:23:17.949617] BRUTE_FORCE | SRC=172.20.10.2 SERVICE=HTTPS PORT=443 ATTEMPTS=71 in 60s
[2026-05-20 16:24:14.069329] PORT_SCAN | SRC=172.20.10.2 DST=172.20.10.1 PORTS=20
[2026-05-20 16:24:25.401582] PORT_SCAN | SRC=172.20.10.2 DST=172.20.10.1 PORTS=111
[2026-05-20 16:24:37.917142] PORT_SCAN | SRC=172.20.10.2 DST=172.20.10.1 PORTS=111
[2026-05-20 16:25:51.823545] ZERO_DAY | SRC=172.217.170.174 ANOMALY max_z=7.39 [pkt_count=554.0(z=4.34), byte_count=698415.0(z=7.39), udp_count=552.0(z=5.68)]
[2026-05-20 16:25:54.977199] PORT_SCAN | SRC=172.20.10.2 DST=172.20.10.1 PORTS=111
[2026-05-20 16:25:55.440962] DoS | SYN_FLOOD SRC=172.20.10.2 PPS=501
[2026-05-20 16:26:01.528634] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=2431.77 [pkt_count=14255.0(z=119.69), byte_count=782088.0(z=8.31), unique_dsts=14.0(z=3.71), syn_count=14009.0(z=2431.77)]
[2026-05-20 16:26:05.440923] DoS | SYN_FLOOD SRC=172.20.10.2 PPS=2116
[2026-05-20 16:26:15.441047] DoS | SYN_FLOOD SRC=172.20.10.2 PPS=2305
[2026-05-20 16:26:25.441357] DoS | SYN_FLOOD SRC=172.20.10.2 PPS=2297
[2026-05-20 16:26:31.647246] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=2435.25 [pkt_count=14279.0(z=119.9), byte_count=785662.0(z=8.35), unique_dsts=15.0(z=4.0), syn_count=14029.0(z=2435.25)]
[2026-05-20 16:26:40.104660] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=15
[2026-05-20 16:26:50.112591] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=16
[2026-05-20 16:26:51.101195] ZERO_DAY | SRC=172.217.170.195 ANOMALY max_z=5.92 [pkt_count=454.0(z=3.5), byte_count=564949.0(z=5.92), udp_count=438.0(z=4.45), dst_entropy=2.8(z=3.09)]
[2026-05-20 16:27:00.136549] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=16
[2026-05-20 16:27:01.663464] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=6.58 [pkt_count=787.0(z=6.3), unique_dsts=24.0(z=6.58), udp_count=508.0(z=5.2)]
[2026-05-20 16:27:18.903210] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=17
[2026-05-20 16:27:31.711839] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=8.88 [pkt_count=720.0(z=5.74), unique_dsts=32.0(z=8.88), udp_count=477.0(z=4.87)]
[2026-05-20 16:27:37.137086] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=18
[2026-05-20 16:27:47.830005] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=20
[2026-05-20 16:27:56.636053] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=15
[2026-05-20 16:28:10.922362] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:28:11.800253] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=6.58 [pkt_count=500.0(z=3.89), unique_dsts=24.0(z=6.58), icmp_count=2.0(z=6.13)]
[2026-05-20 16:28:21.117811] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=15.48 [pkt_count=1129.0(z=9.18), byte_count=1433298.0(z=15.48), udp_count=1117.0(z=11.79)]
[2026-05-20 16:28:25.293117] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:28:30.727152] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=22
[2026-05-20 16:28:38.541165] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=16
[2026-05-20 16:28:41.855180] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=7.36 [pkt_count=912.0(z=7.36), byte_count=352550.0(z=3.59), unique_dsts=25.0(z=6.87)]
[2026-05-20 16:28:47.285516] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:28:51.123414] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=18.11 [pkt_count=1309.0(z=10.7), byte_count=1672207.0(z=18.11), udp_count=960.0(z=10.09)]
[2026-05-20 16:28:57.071073] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=25
[2026-05-20 16:29:11.097927] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:29:12.016265] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=17
[2026-05-20 16:29:21.128037] ZERO_DAY | SRC=57.144.139.32 ANOMALY max_z=4.37 [pkt_count=431.0(z=3.31), byte_count=423855.0(z=4.37), udp_count=336.0(z=3.34)]
[2026-05-20 16:29:22.203659] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=4.57 [pkt_count=485.0(z=3.76), unique_dsts=17.0(z=4.57), icmp_count=1.0(z=3.0)]
[2026-05-20 16:29:31.613840] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:29:42.637686] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:29:45.500910] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=26
[2026-05-20 16:30:04.746358] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=28
[2026-05-20 16:30:28.303844] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=18
[2026-05-20 16:30:30.156948] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=30
[2026-05-20 16:30:30.544742] ICMP_SCAN | SRC=172.20.10.2 TARGETS=5
[2026-05-20 16:30:32.686887] ZERO_DAY | SRC=172.20.10.2 ANOMALY max_z=5.43 [byte_count=378709.0(z=3.88), unique_dsts=20.0(z=5.43), icmp_count=1.0(z=3.0)]
[2026-05-20 16:30:37.635806] UDP_SCAN | SRC=172.217.170.206 DST=172.20.10.2 PORTS=15
[2026-05-20 16:30:40.159672] UDP_SCAN | SRC=172.217.170.174 DST=172.20.10.2 PORTS=18
[2026-05-20 16:30:41.002676] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=30
[2026-05-20 16:30:51.036495] UDP_SCAN | SRC=172.217.170.206 DST=172.20.10.2 PORTS=16
[2026-05-20 16:31:00.450829] UDP_SCAN | SRC=172.217.170.195 DST=172.20.10.2 PORTS=30
